Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,covid_cases,covid_deaths
Symptoms of Depressive Disorder,By State,rhode island,Rhode Island,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7,2259.0,77.0
Symptoms of Depressive Disorder,By State,south carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1,1122.0,91.0
Symptoms of Depressive Disorder,By State,south dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,17.5,13.0,22.7,13.0 - 22.7,16.5 - 20.7,516.0,4.0
Symptoms of Depressive Disorder,By State,tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0,2657.0,29.0
Symptoms of Depressive Disorder,By State,texas,Texas,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7,6041.0,193.0
Symptoms of Depressive Disorder,By State,utah,Utah,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.9,20.0,26.0,20.0 - 26.0,22.2 - 24.0,1032.0,13.0
Symptoms of Depressive Disorder,By State,vermont,Vermont,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7,39.0,10.0
Symptoms of Depressive Disorder,By State,virginia,Virginia,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.5,18.0,25.3,18.0 - 25.3,20.8 - 22.1,4697.0,171.0
Symptoms of Depressive Disorder,By State,washington,Washington,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1,1670.0,94.0
Symptoms of Depressive Disorder,By State,west virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0,168.0,11.0
Symptoms of Depressive Disorder,By State,wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.0,19.2,25.0,19.2 - 25.0,20.8 - 22.1,1675.0,75.0
Symptoms of Depressive Disorder,By State,wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7,101.0,1.0
Symptoms of Anxiety Disorder,National Estimate,united states,United States,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.8,30.0,31.7,30.0 - 31.7,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,18 - 29 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,40.2,38.1,42.4,38.1 - 42.4,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,30 - 39 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.4,32.6,36.1,32.6 - 36.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,40 - 49 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.1,32.1,36.2,32.1 - 36.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,50 - 59 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.0,29.0,33.1,29.0 - 33.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,60 - 69 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.9,23.6,26.3,23.6 - 26.3,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,70 - 79 years,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,16.4,14.8,18.1,14.8 - 18.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Age,united states,80 years and above,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,14.6,11.5,18.2,11.5 - 18.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Sex,united states,Male,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.1,24.7,27.5,24.7 - 27.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Sex,united states,Female,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.4,34.5,36.3,34.5 - 36.3,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.3,33.4,39.2,33.4 - 39.2,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.0,28.2,29.9,28.2 - 29.9,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.8,30.3,35.5,30.3 - 35.5,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.3,23.6,29.1,23.6 - 29.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,united states,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,38.2,34.3,42.3,34.3 - 42.3,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Less than a high school diploma,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.3,32.4,42.4,32.4 - 42.4,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,High school diploma or GED,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6,29.0,32.3,29.0 - 32.3,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Some college/Associate's degree,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.5,32.0,35.1,32.0 - 35.1,,0.0,0.0
Symptoms of Anxiety Disorder,By Education,united states,Bachelor's degree or higher,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.0,26.3,27.8,26.3 - 27.8,,0.0,0.0
Symptoms of Anxiety Disorder,By State,alabama,Alabama,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8,1287.0,62.0
Symptoms of Anxiety Disorder,By State,alaska,Alaska,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7,24.8,30.7,24.8 - 30.7,21.7 - 27.8,18.0,0.0
Symptoms of Anxiety Disorder,By State,arizona,Arizona,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.3,28.0,36.8,28.0 - 36.8,31.7 - 37.0,1736.0,77.0
Symptoms of Anxiety Disorder,By State,arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.7,28.2,39.6,28.2 - 39.6,31.7 - 37.0,699.0,17.0
Symptoms of Anxiety Disorder,By State,california,California,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.8,28.2,33.5,28.2 - 33.5,30.4 - 31.6,11112.0,516.0
Symptoms of Anxiety Disorder,By State,colorado,Colorado,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.6,29.2,36.2,29.2 - 36.2,31.7 - 37.0,4394.0,231.0
Symptoms of Anxiety Disorder,By State,connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.9,30.0,40.0,30.0 - 40.0,31.7 - 37.0,5282.0,629.0
Symptoms of Anxiety Disorder,By State,delaware,Delaware,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.9,25.5,34.6,25.5 - 34.6,27.9 - 30.3,1418.0,88.0
Symptoms of Anxiety Disorder,By State,district of columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4,27.9,35.1,27.9 - 35.1,30.4 - 31.6,0.0,0.0
Symptoms of Anxiety Disorder,By State,florida,Florida,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.6,29.7,35.6,29.7 - 35.6,31.7 - 37.0,6048.0,325.0
Symptoms of Anxiety Disorder,By State,georgia,Georgia,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.9,28.1,35.9,28.1 - 35.9,31.7 - 37.0,4558.0,251.0
Symptoms of Anxiety Disorder,By State,hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.3,27.1,37.8,27.1 - 37.8,31.7 - 37.0,32.0,1.0
Symptoms of Anxiety Disorder,By State,idaho,Idaho,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.9,23.7,30.2,23.7 - 30.2,21.7 - 27.8,187.0,9.0
Symptoms of Anxiety Disorder,By State,illinois,Illinois,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.1,27.0,35.4,27.0 - 35.4,30.4 - 31.6,15243.0,649.0
Symptoms of Anxiety Disorder,By State,indiana,Indiana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.8,27.5,36.4,27.5 - 36.4,31.7 - 37.0,4727.0,278.0
Symptoms of Anxiety Disorder,By State,iowa,Iowa,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.5,19.0,26.2,19.0 - 26.2,21.7 - 27.8,3097.0,58.0
Symptoms of Anxiety Disorder,By State,kansas,Kansas,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,26.4,22.0,31.2,22.0 - 31.2,21.7 - 27.8,1464.0,23.0
Symptoms of Anxiety Disorder,By State,kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6,1149.0,49.0
Symptoms of Anxiety Disorder,By State,louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,34.4,29.7,39.3,29.7 - 39.3,31.7 - 37.0,2407.0,366.0
Symptoms of Anxiety Disorder,By State,maine,Maine,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.5,25.9,33.3,25.9 - 33.3,27.9 - 30.3,148.0,13.0
Symptoms of Anxiety Disorder,By State,maryland,Maryland,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.7,24.6,31.1,24.6 - 31.1,21.7 - 27.8,6075.0,378.0
Symptoms of Anxiety Disorder,By State,massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.0,33.3,40.7,33.3 - 40.7,31.7 - 37.0,13468.0,1224.0
Symptoms of Anxiety Disorder,By State,michigan,Michigan,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,32.5,28.6,36.7,28.6 - 36.7,31.7 - 37.0,6968.0,882.0
Symptoms of Anxiety Disorder,By State,minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.5,25.2,32.0,25.2 - 32.0,27.9 - 30.3,1922.0,187.0
Symptoms of Anxiety Disorder,By State,mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.3,24.7,36.3,24.7 - 36.3,27.9 - 30.3,1667.0,58.0
Symptoms of Anxiety Disorder,By State,missouri,Missouri,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.4,25.8,35.4,25.8 - 35.4,30.4 - 31.6,1359.0,138.0
Symptoms of Anxiety Disorder,By State,montana,Montana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.8,19.6,26.3,19.6 - 26.3,21.7 - 27.8,12.0,2.0
Symptoms of Anxiety Disorder,By State,nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,24.2,20.6,28.0,20.6 - 28.0,21.7 - 27.8,2089.0,45.0
Symptoms of Anxiety Disorder,By State,nevada,Nevada,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4,27.3,35.7,27.3 - 35.7,30.4 - 31.6,853.0,59.0
Symptoms of Anxiety Disorder,By State,new hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.3,27.1,35.7,27.1 - 35.7,30.4 - 31.6,470.0,12.0
Symptoms of Anxiety Disorder,By State,new jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.4,28.2,34.7,28.2 - 34.7,30.4 - 31.6,20451.0,1847.0
Symptoms of Anxiety Disorder,By State,new mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.9,23.9,32.2,23.9 - 32.2,27.9 - 30.3,1003.0,41.0
Symptoms of Anxiety Disorder,By State,new york,New York,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,36.1,32.1,40.2,32.1 - 40.2,31.7 - 37.0,19454.0,1350.0
Symptoms of Anxiety Disorder,By State,north carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.0,25.1,35.3,25.1 - 35.3,27.9 - 30.3,2979.0,127.0
Symptoms of Anxiety Disorder,By State,north dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,21.7,18.3,25.5,18.3 - 25.5,21.7 - 27.8,354.0,8.0
Symptoms of Anxiety Disorder,By State,ohio,Ohio,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.1,27.4,35.1,27.4 - 35.1,30.4 - 31.6,3183.0,311.0
Symptoms of Anxiety Disorder,By State,oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.6,24.9,32.4,24.9 - 32.4,27.9 - 30.3,580.0,44.0
Symptoms of Anxiety Disorder,By State,oregon,Oregon,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.5,28.0,35.1,28.0 - 35.1,30.4 - 31.6,387.0,23.0
Symptoms of Anxiety Disorder,By State,pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,31.0,27.5,34.7,27.5 - 34.7,30.4 - 31.6,9949.0,840.0
Symptoms of Anxiety Disorder,By State,rhode island,Rhode Island,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.6,23.4,32.0,23.4 - 32.0,21.7 - 27.8,2259.0,77.0
Symptoms of Anxiety Disorder,By State,south carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.8,24.0,31.7,24.0 - 31.7,21.7 - 27.8,1122.0,91.0
Symptoms of Anxiety Disorder,By State,south dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,22.1,17.3,27.6,17.3 - 27.6,21.7 - 27.8,516.0,4.0
Symptoms of Anxiety Disorder,By State,tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.2,22.8,34.0,22.8 - 34.0,27.9 - 30.3,2657.0,29.0
Symptoms of Anxiety Disorder,By State,texas,Texas,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,29.7,25.9,33.7,25.9 - 33.7,27.9 - 30.3,6041.0,193.0
Symptoms of Anxiety Disorder,By State,utah,Utah,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,28.9,24.9,33.1,24.9 - 33.1,27.9 - 30.3,1032.0,13.0
Symptoms of Anxiety Disorder,By State,vermont,Vermont,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,30.6,25.6,35.8,25.6 - 35.8,30.4 - 31.6,39.0,10.0
